note_id,note_date,customer_id,product_id,product_name,expected_quantity_kg,expected_period,intent_probability,risk_factors,signal_type,extraction_method,extraction_confidence,source_note_text
N0014,2023-04-03,C017,,,,unknown,0.4,supply delay,market_risk_signal,rule_based,0.45,مشتری C017 فقط زمان تحویل و قیمت را بررسی کرد؛ سیگنال ضعیف است و هنوز به سفارش رسمی نزدیک نیست.
N0015,2023-04-05,C002,,,,unknown,0.2,export condition,delayed_or_cancelled,rule_based,0.45,مشتری C002 به خاطر شرایط صادرات تصمیم را متوقف کرده اما برای پروژه جدید احتمال مصرف دارد.
N0016,2023-04-06,C009,P004,Carpet Polyester Yarn,14000.0,next_week,0.7,,possible_order,rule_based,0.85,در پیگیری امروز، مشتری C009 برای حدود ۱۴۰۰۰ کیلو Carpet Polyester Yarn قیمت خواست و گفت تصمیم خرید را برای هفته آینده نهایی می‌کند.
N0017,2023-04-10,C010,,,,unknown,0.4,,possible_order,rule_based,0.45,فروشنده با مشتری C010 تماس گرفت؛ مشتری فعلا موجودی کافی دارد اما قیمت‌ها را برای تصمیم بعدی دنبال می‌کند.
N0018,2023-04-14,C001,,,32000.0,unknown,0.7,seasonality,possible_order,rule_based,0.65,مشتری C001 گفت موجودی فعلی رو به پایان است و اگر شرایط پرداخت تایید شود، آخر فصل حدود ۳۲ تن سفارش می‌دهد.
N0019,2023-04-14,C008,P002,Polyester Yarn 300D,13000.0,unknown,0.7,PET price|seasonality,possible_order,rule_based,0.85,مشتری C008 گفت اگر قیمت PET بیشتر نشود، احتمالا آخر فصل حدود ۱۳ تن Polyester Yarn 300D سفارش می‌دهد.
N0020,2023-04-30,C006,,,10500.0,next_month,0.7,,possible_order,rule_based,0.65,مشتری C006 گفت موجودی فعلی رو به پایان است و اگر شرایط پرداخت تایید شود، ماه آینده حدود ۱۰۵۰۰ کیلو سفارش می‌دهد.
N0021,2023-05-10,C001,P002,Polyester Yarn 300D,21000.0,unknown,0.5,,possible_order,rule_based,0.85,مشتری C001 برای برنامه تولید جدید درباره حدود ۲۱ تن Polyester Yarn 300D سؤال کرد و سفارش رسمی را به تایید مدیریت موکول کرد.
N0022,2023-05-13,C002,P002,Polyester Yarn 300D,28000.0,unknown,0.5,,possible_order,rule_based,0.85,مشتری C002 برای برنامه تولید جدید درباره حدود ۲۸ تن Polyester Yarn 300D سؤال کرد و سفارش رسمی را به تایید مدیریت موکول کرد.
N0023,2023-05-18,C001,P004,Carpet Polyester Yarn,28500.0,unknown,0.4,export condition,possible_order,rule_based,0.85,مشتری C001 برای پروژه صادراتی درباره حدود ۲۸۵۰۰ کیلو Carpet Polyester Yarn پرسید، اما گفت وضعیت صادرات هنوز قطعی نیست.
N0024,2023-05-21,C010,P001,Polyester Yarn 150D,,unknown,0.4,,possible_order,rule_based,0.65,مشتری C010 درخواست quote برای Polyester Yarn 150D داشت ولی تاکید کرد خرید قطعی نیست.
N0025,2023-05-25,C018,P002,Polyester Yarn 300D,6000.0,unknown,0.5,,possible_order,rule_based,0.85,مشتری C018 برای برنامه تولید جدید درباره حدود ۶۰۰۰ کیلو Polyester Yarn 300D سؤال کرد و سفارش رسمی را به تایید مدیریت موکول کرد.
N0026,2023-06-05,C011,,,12000.0,next_month,0.7,,possible_order,rule_based,0.65,مشتری C011 گفت موجودی فعلی رو به پایان است و اگر شرایط پرداخت تایید شود، ماه آینده حدود ۱۲ تن سفارش می‌دهد.
N0027,2023-06-09,C004,P005,High Tenacity Polyester Yarn,22000.0,unknown,0.4,export condition,possible_order,rule_based,0.85,مشتری C004 برای پروژه صادراتی درباره حدود ۲۲۰۰۰ کیلو High Tenacity Polyester Yarn پرسید، اما گفت وضعیت صادرات هنوز قطعی نیست.
N0028,2023-06-11,C002,P005,High Tenacity Polyester Yarn,30000.0,next_week,0.7,PET price,possible_order,rule_based,0.85,مشتری C002 گفت اگر قیمت PET بیشتر نشود، احتمالا هفته آینده حدود ۳۰ تن High Tenacity Polyester Yarn سفارش می‌دهد.
N0029,2023-06-11,C006,,,6000.0,next_week,0.5,,possible_order,rule_based,0.65,مشتری C006 گفت اگر موجودی فعلی تمام شود، هفته آینده درباره حدود ۶۰۰۰ کیلو دوباره تماس می‌گیرد.
N0030,2023-06-21,C014,P004,Carpet Polyester Yarn,2000.0,unknown,0.7,currency,possible_order,rule_based,0.85,با مشتری C014 صحبت شد؛ به دلیل نگرانی از نرخ دلار، احتمال دارد خرید حدود ۲۰۰۰ کیلو Carpet Polyester Yarn را جلو بیندازد.
N0031,2023-06-23,C008,P001,Polyester Yarn 150D,6000.0,unknown,0.4,,possible_order,rule_based,0.85,مشتری C008 برای حدود ۶۰۰۰ کیلو Polyester Yarn 150D سؤال کرد ولی هنوز سفارش قطعی نداده است.
N0032,2023-06-26,C002,P002,Polyester Yarn 300D,30000.0,unknown,0.5,,possible_order,rule_based,0.85,مشتری C002 برای برنامه تولید جدید درباره حدود ۳۰ تن Polyester Yarn 300D سؤال کرد و سفارش رسمی را به تایید مدیریت موکول کرد.
N0033,2023-07-08,C002,,,20000.0,next_month,0.7,,possible_order,rule_based,0.65,مشتری C002 گفت موجودی فعلی رو به پایان است و اگر شرایط پرداخت تایید شود، ماه آینده حدود ۲۰ تن سفارش می‌دهد.
N0034,2023-07-24,C008,,,,unknown,0.4,,possible_order,rule_based,0.45,فروشنده با مشتری C008 تماس گرفت؛ مشتری فعلا موجودی کافی دارد اما قیمت‌ها را برای تصمیم بعدی دنبال می‌کند.
N0035,2023-07-27,C002,P002,Polyester Yarn 300D,23000.0,next_month,0.7,,possible_order,rule_based,0.85,در پیگیری امروز، مشتری C002 برای حدود ۲۳۰۰۰ کیلو Polyester Yarn 300D قیمت خواست و گفت تصمیم خرید را برای ماه آینده نهایی می‌کند.
N0036,2023-07-31,C002,,,18000.0,next_month,0.7,,possible_order,rule_based,0.65,مشتری C002 گفت موجودی فعلی رو به پایان است و اگر شرایط پرداخت تایید شود، ماه آینده حدود ۱۸ تن سفارش می‌دهد.
N0037,2023-08-09,C004,P001,Polyester Yarn 150D,27500.0,unknown,0.4,export condition,possible_order,rule_based,0.85,مشتری C004 برای پروژه صادراتی درباره حدود ۲۷۵۰۰ کیلو Polyester Yarn 150D پرسید، اما گفت وضعیت صادرات هنوز قطعی نیست.
N0038,2023-08-13,C004,,,8000.0,next_week,0.5,,possible_order,rule_based,0.65,مشتری C004 گفت اگر موجودی فعلی تمام شود، هفته آینده درباره حدود ۸۰۰۰ کیلو دوباره تماس می‌گیرد.
N0039,2023-08-15,C018,,,6000.0,in_2_weeks,0.7,export condition,possible_order,rule_based,0.65,مشتری C018 گفت اگر سفارش صادراتی خودش تایید شود، احتمالا دو هفته دیگر حدود ۶۰۰۰ کیلو نیاز دارد.
N0040,2023-08-21,C012,,,4000.0,next_week,0.5,,possible_order,rule_based,0.65,مشتری C012 گفت اگر موجودی فعلی تمام شود، هفته آینده درباره حدود ۴۰۰۰ کیلو دوباره تماس می‌گیرد.
N0041,2023-09-05,C001,P004,Carpet Polyester Yarn,30000.0,unknown,0.4,export condition,possible_order,rule_based,0.85,مشتری C001 برای پروژه صادراتی درباره حدود ۳۰۰۰۰ کیلو Carpet Polyester Yarn پرسید، اما گفت وضعیت صادرات هنوز قطعی نیست.
N0042,2023-09-07,C004,,,12000.0,next_week,0.5,,possible_order,rule_based,0.65,مشتری C004 گفت اگر موجودی فعلی تمام شود، هفته آینده درباره حدود ۱۲ تن دوباره تماس می‌گیرد.
N0043,2023-09-09,C002,P004,Carpet Polyester Yarn,36000.0,unknown,0.4,export condition,possible_order,rule_based,0.85,مشتری C002 برای پروژه صادراتی درباره حدود ۳۶۰۰۰ کیلو Carpet Polyester Yarn پرسید، اما گفت وضعیت صادرات هنوز قطعی نیست.
N0044,2023-09-21,C010,,,4000.0,next_week,0.5,,possible_order,rule_based,0.65,مشتری C010 گفت اگر موجودی فعلی تمام شود، هفته آینده درباره حدود ۴۰۰۰ کیلو دوباره تماس می‌گیرد.
N0045,2023-09-24,C004,,,,unknown,0.2,currency|seasonality,delayed_or_cancelled,rule_based,0.45,مشتری C004 گفت به خاطر نوسان نرخ دلار فعلا تصمیم خرید را عقب انداخته اما برای آخر فصل نیاز احتمالی دارد.
N0046,2023-10-01,C010,,,8500.0,in_2_weeks,0.7,,possible_order,rule_based,0.65,مشتری C010 گفت موجودی فعلی رو به پایان است و اگر شرایط پرداخت تایید شود، دو هفته دیگر حدود ۸۵۰۰ کیلو سفارش می‌دهد.
N0047,2023-10-06,C007,P004,Carpet Polyester Yarn,16000.0,unknown,0.5,,possible_order,rule_based,0.85,مشتری C007 برای برنامه تولید جدید درباره حدود ۱۶ تن Carpet Polyester Yarn سؤال کرد و سفارش رسمی را به تایید مدیریت موکول کرد.
N0048,2023-10-13,C009,,,12000.0,in_2_weeks,0.7,,possible_order,rule_based,0.65,مشتری C009 گفت موجودی فعلی رو به پایان است و اگر شرایط پرداخت تایید شود، دو هفته دیگر حدود ۱۲ تن سفارش می‌دهد.
N0049,2023-10-25,C008,,,,unknown,0.4,,possible_order,rule_based,0.45,فروشنده با مشتری C008 تماس گرفت؛ مشتری فعلا موجودی کافی دارد اما قیمت‌ها را برای تصمیم بعدی دنبال می‌کند.
N0050,2023-11-09,C010,P002,Polyester Yarn 300D,9500.0,next_week,0.7,PET price,possible_order,rule_based,0.85,مشتری C010 گفت اگر قیمت PET بیشتر نشود، احتمالا هفته آینده حدود ۹۵۰۰ کیلو Polyester Yarn 300D سفارش می‌دهد.
N0051,2023-11-16,C015,P002,Polyester Yarn 300D,,unknown,0.4,,possible_order,rule_based,0.65,مشتری C015 درخواست quote برای Polyester Yarn 300D داشت ولی تاکید کرد خرید قطعی نیست.
N0052,2023-11-21,C013,P005,High Tenacity Polyester Yarn,1500.0,in_2_weeks,0.7,PET price,possible_order,rule_based,0.85,مشتری C013 گفت اگر قیمت PET بیشتر نشود، احتمالا دو هفته دیگر حدود ۱۵۰۰ کیلو High Tenacity Polyester Yarn سفارش می‌دهد.
N0053,2023-11-21,C010,P002,Polyester Yarn 300D,12000.0,unknown,0.7,seasonality,possible_order,rule_based,0.85,در پیگیری امروز، مشتری C010 برای حدود ۱۲ تن Polyester Yarn 300D قیمت خواست و گفت تصمیم خرید را برای آخر فصل نهایی می‌کند.
N0054,2023-11-26,C002,P002,Polyester Yarn 300D,23000.0,unknown,0.5,,possible_order,rule_based,0.85,مشتری C002 برای برنامه تولید جدید درباره حدود ۲۳ تن Polyester Yarn 300D سؤال کرد و سفارش رسمی را به تایید مدیریت موکول کرد.
N0055,2023-11-26,C014,,,,unknown,0.2,currency|seasonality,delayed_or_cancelled,rule_based,0.45,مشتری C014 گفت به خاطر نوسان نرخ دلار فعلا تصمیم خرید را عقب انداخته اما برای آخر فصل نیاز احتمالی دارد.
N0056,2023-11-28,C017,,,,unknown,0.2,export condition,delayed_or_cancelled,rule_based,0.45,مشتری C017 به خاطر شرایط صادرات تصمیم را متوقف کرده اما برای پروژه جدید احتمال مصرف دارد.
N0057,2023-12-01,C004,,,20000.0,in_2_weeks,0.7,export condition,possible_order,rule_based,0.65,مشتری C004 گفت اگر سفارش صادراتی خودش تایید شود، احتمالا دو هفته دیگر حدود ۲۰ تن نیاز دارد.
N0058,2023-12-05,C013,P002,Polyester Yarn 300D,,unknown,0.4,,possible_order,rule_based,0.65,مشتری C013 فقط برای مقایسه قیمت Polyester Yarn 300D تماس گرفت و هنوز برنامه خرید مشخصی ندارد.
N0059,2023-12-13,C003,P005,High Tenacity Polyester Yarn,21500.0,unknown,0.5,,possible_order,rule_based,0.85,مشتری C003 برای برنامه تولید جدید درباره حدود ۲۱۵۰۰ کیلو High Tenacity Polyester Yarn سؤال کرد و سفارش رسمی را به تایید مدیریت موکول کرد.
N0060,2023-12-20,C003,P001,Polyester Yarn 150D,25000.0,unknown,0.7,currency,possible_order,rule_based,0.85,با مشتری C003 صحبت شد؛ به دلیل نگرانی از نرخ دلار، احتمال دارد خرید حدود ۲۵ تن Polyester Yarn 150D را جلو بیندازد.
N0061,2024-01-01,C002,P004,Carpet Polyester Yarn,34000.0,unknown,0.7,currency,possible_order,rule_based,0.85,با مشتری C002 صحبت شد؛ به دلیل نگرانی از نرخ دلار، احتمال دارد خرید حدود ۳۴۰۰۰ کیلو Carpet Polyester Yarn را جلو بیندازد.
N0062,2024-01-12,C004,,,20000.0,next_week,0.5,,possible_order,rule_based,0.65,مشتری C004 گفت اگر موجودی فعلی تمام شود، هفته آینده درباره حدود ۲۰ تن دوباره تماس می‌گیرد.
N0063,2024-01-23,C007,,,15000.0,in_2_weeks,0.7,export condition,possible_order,rule_based,0.65,مشتری C007 گفت اگر سفارش صادراتی خودش تایید شود، احتمالا دو هفته دیگر حدود ۱۵ تن نیاز دارد.
N0064,2024-02-02,C006,P001,Polyester Yarn 150D,11000.0,unknown,0.7,currency,possible_order,rule_based,0.85,با مشتری C006 صحبت شد؛ به دلیل نگرانی از نرخ دلار، احتمال دارد خرید حدود ۱۱ تن Polyester Yarn 150D را جلو بیندازد.
N0065,2024-02-04,C004,P003,Industrial Polyester Fiber,22000.0,unknown,0.5,,possible_order,rule_based,0.85,مشتری C004 برای برنامه تولید جدید درباره حدود ۲۲ تن Industrial Polyester Fiber سؤال کرد و سفارش رسمی را به تایید مدیریت موکول کرد.
N0066,2024-02-15,C014,,,,unknown,0.4,supply delay,market_risk_signal,rule_based,0.45,مشتری C014 فقط زمان تحویل و قیمت را بررسی کرد؛ سیگنال ضعیف است و هنوز به سفارش رسمی نزدیک نیست.
N0067,2024-02-16,C009,,,15000.0,next_week,0.5,,possible_order,rule_based,0.65,مشتری C009 گفت اگر موجودی فعلی تمام شود، هفته آینده درباره حدود ۱۵۰۰۰ کیلو دوباره تماس می‌گیرد.
N0068,2024-02-22,C005,P003,Industrial Polyester Fiber,4500.0,in_2_weeks,0.7,,possible_order,rule_based,0.85,در پیگیری امروز، مشتری C005 برای حدود ۴۵۰۰ کیلو Industrial Polyester Fiber قیمت خواست و گفت تصمیم خرید را برای دو هفته دیگر نهایی می‌کند.
N0069,2024-02-29,C016,,,20000.0,next_week,0.5,,possible_order,rule_based,0.65,مشتری C016 گفت اگر موجودی فعلی تمام شود، هفته آینده درباره حدود ۲۰ تن دوباره تماس می‌گیرد.
N0070,2024-03-22,C007,P005,High Tenacity Polyester Yarn,7500.0,unknown,0.4,export condition,possible_order,rule_based,0.85,مشتری C007 برای پروژه صادراتی درباره حدود ۷۵۰۰ کیلو High Tenacity Polyester Yarn پرسید، اما گفت وضعیت صادرات هنوز قطعی نیست.
N0071,2024-03-23,C003,P004,Carpet Polyester Yarn,30000.0,unknown,0.5,,possible_order,rule_based,0.85,مشتری C003 برای برنامه تولید جدید درباره حدود ۳۰۰۰۰ کیلو Carpet Polyester Yarn سؤال کرد و سفارش رسمی را به تایید مدیریت موکول کرد.
N0072,2024-04-03,C014,P003,Industrial Polyester Fiber,,unknown,0.4,,possible_order,rule_based,0.65,مشتری C014 درخواست quote برای Industrial Polyester Fiber داشت ولی تاکید کرد خرید قطعی نیست.
N0073,2024-04-14,C001,P003,Industrial Polyester Fiber,6000.0,unknown,0.4,,possible_order,rule_based,0.85,مشتری C001 برای حدود ۶۰۰۰ کیلو Industrial Polyester Fiber سؤال کرد ولی هنوز سفارش قطعی نداده است.
N0074,2024-04-18,C018,,,,unknown,0.2,export condition,delayed_or_cancelled,rule_based,0.45,مشتری C018 به خاطر شرایط صادرات تصمیم را متوقف کرده اما برای پروژه جدید احتمال مصرف دارد.
N0075,2024-04-22,C005,P004,Carpet Polyester Yarn,16000.0,next_month,0.7,,possible_order,rule_based,0.85,در پیگیری امروز، مشتری C005 برای حدود ۱۶ تن Carpet Polyester Yarn قیمت خواست و گفت تصمیم خرید را برای ماه آینده نهایی می‌کند.
N0076,2024-04-29,C018,P001,Polyester Yarn 150D,2000.0,next_week,0.7,PET price,possible_order,rule_based,0.85,مشتری C018 گفت اگر قیمت PET بیشتر نشود، احتمالا هفته آینده حدود ۲۰۰۰ کیلو Polyester Yarn 150D سفارش می‌دهد.
N0077,2024-05-09,C003,P005,High Tenacity Polyester Yarn,28000.0,in_2_weeks,0.7,,possible_order,rule_based,0.85,در پیگیری امروز، مشتری C003 برای حدود ۲۸ تن High Tenacity Polyester Yarn قیمت خواست و گفت تصمیم خرید را برای دو هفته دیگر نهایی می‌کند.
N0078,2024-05-14,C013,,,,next_month,0.5,PET price,market_risk_signal,rule_based,0.45,مشتری C013 درباره قیمت PET پرسید و گفت اگر بازار آرام شود شاید ماه آینده خرید کند.
N0079,2024-05-16,C003,P002,Polyester Yarn 300D,33000.0,in_2_weeks,0.7,PET price,possible_order,rule_based,0.85,مشتری C003 گفت اگر قیمت PET بیشتر نشود، احتمالا دو هفته دیگر حدود ۳۳ تن Polyester Yarn 300D سفارش می‌دهد.
N0080,2024-05-19,C001,,,,unknown,0.2,export condition,delayed_or_cancelled,rule_based,0.45,مشتری C001 به خاطر شرایط صادرات تصمیم را متوقف کرده اما برای پروژه جدید احتمال مصرف دارد.
N0081,2024-05-24,C005,P001,Polyester Yarn 150D,12000.0,unknown,0.7,PET price|seasonality,possible_order,rule_based,0.85,مشتری C005 گفت اگر قیمت PET بیشتر نشود، احتمالا آخر فصل حدود ۱۲ تن Polyester Yarn 150D سفارش می‌دهد.
N0082,2024-06-07,C017,P002,Polyester Yarn 300D,15000.0,unknown,0.4,,possible_order,rule_based,0.85,مشتری C017 برای حدود ۱۵ تن Polyester Yarn 300D سؤال کرد ولی هنوز سفارش قطعی نداده است.
N0083,2024-06-09,C015,P002,Polyester Yarn 300D,1500.0,in_2_weeks,0.7,,possible_order,rule_based,0.85,در پیگیری امروز، مشتری C015 برای حدود ۱۵۰۰ کیلو Polyester Yarn 300D قیمت خواست و گفت تصمیم خرید را برای دو هفته دیگر نهایی می‌کند.
N0084,2024-06-15,C011,P005,High Tenacity Polyester Yarn,,unknown,0.4,,possible_order,rule_based,0.65,مشتری C011 فقط برای مقایسه قیمت High Tenacity Polyester Yarn تماس گرفت و هنوز برنامه خرید مشخصی ندارد.
N0085,2024-06-22,C017,P004,Carpet Polyester Yarn,3000.0,in_2_weeks,0.7,,possible_order,rule_based,0.85,در پیگیری امروز، مشتری C017 برای حدود ۳۰۰۰ کیلو Carpet Polyester Yarn قیمت خواست و گفت تصمیم خرید را برای دو هفته دیگر نهایی می‌کند.
N0086,2024-06-30,C018,P004,Carpet Polyester Yarn,3500.0,next_month,0.7,PET price,possible_order,rule_based,0.85,مشتری C018 گفت اگر قیمت PET بیشتر نشود، احتمالا ماه آینده حدود ۳۵۰۰ کیلو Carpet Polyester Yarn سفارش می‌دهد.
N0087,2024-06-30,C014,,,,unknown,0.2,export condition,delayed_or_cancelled,rule_based,0.45,مشتری C014 به خاطر شرایط صادرات تصمیم را متوقف کرده اما برای پروژه جدید احتمال مصرف دارد.
N0088,2024-07-06,C016,P001,Polyester Yarn 150D,3000.0,next_month,0.7,PET price,possible_order,rule_based,0.85,مشتری C016 گفت اگر قیمت PET بیشتر نشود، احتمالا ماه آینده حدود ۳۰۰۰ کیلو Polyester Yarn 150D سفارش می‌دهد.
N0089,2024-07-06,C008,,,,next_month,0.5,PET price,market_risk_signal,rule_based,0.45,مشتری C008 درباره قیمت PET پرسید و گفت اگر بازار آرام شود شاید ماه آینده خرید کند.
N0090,2024-07-15,C015,P005,High Tenacity Polyester Yarn,2000.0,unknown,0.5,,possible_order,rule_based,0.85,مشتری C015 برای برنامه تولید جدید درباره حدود ۲۰۰۰ کیلو High Tenacity Polyester Yarn سؤال کرد و سفارش رسمی را به تایید مدیریت موکول کرد.
N0091,2024-07-27,C016,,,,unknown,0.4,supply delay,market_risk_signal,rule_based,0.45,مشتری C016 فقط زمان تحویل و قیمت را بررسی کرد؛ سیگنال ضعیف است و هنوز به سفارش رسمی نزدیک نیست.
N0092,2024-08-05,C003,,,20000.0,in_2_weeks,0.7,,possible_order,rule_based,0.65,مشتری C003 گفت موجودی فعلی رو به پایان است و اگر شرایط پرداخت تایید شود، دو هفته دیگر حدود ۲۰ تن سفارش می‌دهد.
N0093,2024-08-11,C009,,,8000.0,next_week,0.5,,possible_order,rule_based,0.65,مشتری C009 گفت اگر موجودی فعلی تمام شود، هفته آینده درباره حدود ۸۰۰۰ کیلو دوباره تماس می‌گیرد.
N0094,2024-08-24,C003,P004,Carpet Polyester Yarn,34000.0,unknown,0.5,,possible_order,rule_based,0.85,مشتری C003 برای برنامه تولید جدید درباره حدود ۳۴ تن Carpet Polyester Yarn سؤال کرد و سفارش رسمی را به تایید مدیریت موکول کرد.
N0095,2024-08-24,C013,,,,unknown,0.2,export condition,delayed_or_cancelled,rule_based,0.45,مشتری C013 به خاطر شرایط صادرات تصمیم را متوقف کرده اما برای پروژه جدید احتمال مصرف دارد.
N0096,2024-08-25,C009,P001,Polyester Yarn 150D,8500.0,unknown,0.4,export condition,possible_order,rule_based,0.85,مشتری C009 برای پروژه صادراتی درباره حدود ۸۵۰۰ کیلو Polyester Yarn 150D پرسید، اما گفت وضعیت صادرات هنوز قطعی نیست.
N0097,2024-08-27,C002,P004,Carpet Polyester Yarn,23000.0,next_month,0.7,PET price,possible_order,rule_based,0.85,مشتری C002 گفت اگر قیمت PET بیشتر نشود، احتمالا ماه آینده حدود ۲۳ تن Carpet Polyester Yarn سفارش می‌دهد.
N0098,2024-09-01,C001,P004,Carpet Polyester Yarn,41500.0,in_2_weeks,0.7,PET price,possible_order,rule_based,0.85,مشتری C001 گفت اگر قیمت PET بیشتر نشود، احتمالا دو هفته دیگر حدود ۴۱۵۰۰ کیلو Carpet Polyester Yarn سفارش می‌دهد.
N0099,2024-09-10,C009,P002,Polyester Yarn 300D,14000.0,in_2_weeks,0.7,,possible_order,rule_based,0.85,در پیگیری امروز، مشتری C009 برای حدود ۱۴ تن Polyester Yarn 300D قیمت خواست و گفت تصمیم خرید را برای دو هفته دیگر نهایی می‌کند.
N0100,2024-09-14,C004,P003,Industrial Polyester Fiber,30000.0,unknown,0.4,export condition,possible_order,rule_based,0.85,مشتری C004 برای پروژه صادراتی درباره حدود ۳۰ تن Industrial Polyester Fiber پرسید، اما گفت وضعیت صادرات هنوز قطعی نیست.
N0101,2024-09-18,C002,P003,Industrial Polyester Fiber,4000.0,unknown,0.4,,possible_order,rule_based,0.85,مشتری C002 برای حدود ۴۰۰۰ کیلو Industrial Polyester Fiber سؤال کرد ولی هنوز سفارش قطعی نداده است.
N0102,2024-10-19,C010,P003,Industrial Polyester Fiber,7500.0,next_month,0.7,,possible_order,rule_based,0.85,در پیگیری امروز، مشتری C010 برای حدود ۷۵۰۰ کیلو Industrial Polyester Fiber قیمت خواست و گفت تصمیم خرید را برای ماه آینده نهایی می‌کند.
N0103,2024-11-02,C003,P005,High Tenacity Polyester Yarn,20000.0,unknown,0.7,currency,possible_order,rule_based,0.85,با مشتری C003 صحبت شد؛ به دلیل نگرانی از نرخ دلار، احتمال دارد خرید حدود ۲۰ تن High Tenacity Polyester Yarn را جلو بیندازد.
N0104,2024-12-17,C004,P003,Industrial Polyester Fiber,,unknown,0.4,,possible_order,rule_based,0.65,مشتری C004 فقط برای مقایسه قیمت Industrial Polyester Fiber تماس گرفت و هنوز برنامه خرید مشخصی ندارد.
N0105,2024-12-27,C017,P003,Industrial Polyester Fiber,12000.0,unknown,0.4,,possible_order,rule_based,0.85,مشتری C017 برای حدود ۱۲ تن Industrial Polyester Fiber سؤال کرد ولی هنوز سفارش قطعی نداده است.
